FluorCam7 Kinetics Export File
-----------------------------------
[us]	[°C]	AXA4.2	AXA4.1	AA3.1	AA5.2	AA5.1	AA7.1	AA7.3	AA7.2	AA1.1	AA5.3	AA1.2	AXA2.1	AA1.3	AA4.1	AXA5.1	AXA2.3	AA2.1	AA4.2	AA3.3	AA6.1	AXA3.1	AA3.2	AXA4.3	AXA1.1	AA2.2	AXA1.2	AXA3.2	AXA5.2	AA6.3	AA4.3	AA2.3	AXA1.3	AXA3.3	AXA5.3	AXA6.1	AXA6.2	AXA6.3	AXA7.1	AXA7.2	AXA7.3
960140000	42.57	216.463	180.859	165.683	283.293	176.542	162.418	274.325	166.821	242.443	268.974	225.380	212.495	327.632	334.684	218.543	198.854	367.267	305.846	333.009	265.241	268.786	303.291	198.520	290.487	354.453	336.393	300.145	206.107	266.974	243.272	230.807	213.059	467.821	245.000	232.788	242.106	221.734	209.495	213.431	216.355
960180000	42.57	209.874	184.035	163.583	292.362	173.292	166.354	271.248	168.474	236.496	263.718	229.694	215.516	335.658	336.094	209.716	194.398	375.362	308.393	333.034	259.095	267.658	295.487	200.265	285.068	363.957	333.718	300.479	212.291	268.414	234.719	219.430	205.267	473.718	234.679	228.929	249.044	222.147	209.200	218.780	204.482
990020000	42.81	210.516	178.353	155.650	287.466	180.625	164.291	270.581	167.910	236.009	274.692	241.537	217.806	323.573	332.923	214.784	195.184	375.207	310.538	328.821	261.259	263.026	305.308	199.939	283.786	354.727	327.060	301.026	216.029	271.853	237.000	229.702	211.376	472.897	233.964	233.018	251.717	220.147	206.421	218.550	207.582
990060000	42.81	206.053	180.659	157.300	281.647	171.167	161.557	267.538	170.026	232.800	281.556	234.722	204.452	319.940	345.923	215.672	192.544	366.948	310.496	329.513	269.793	272.692	304.504	197.347	287.632	353.034	327.658	297.094	214.631	272.095	239.430	228.518	213.366	468.060	239.080	231.310	244.929	215.486	203.484	212.303	211.564
990100000	42.81	209.211	176.153	154.417	290.707	176.688	158.848	274.718	168.590	232.287	272.658	238.583	214.183	326.769	340.803	219.776	193.117	369.621	306.248	334.470	260.802	267.530	300.513	198.663	285.385	360.949	328.000	305.410	210.903	274.276	234.289	233.193	207.812	468.137	243.902	226.186	248.345	217.495	206.368	211.633	218.255
990140000	42.81	203.874	179.894	159.050	284.776	178.500	165.089	278.154	171.718	237.061	272.641	241.185	215.409	331.641	344.940	210.112	197.165	369.069	309.462	323.786	273.629	265.615	302.838	200.888	292.906	359.607	334.573	307.761	210.903	268.897	240.702	225.544	210.812	474.043	238.188	224.726	248.274	224.385	203.600	216.220	208.645
990180000	42.81	205.863	173.188	165.667	289.534	164.312	171.899	275.120	163.590	237.609	278.462	240.824	216.054	336.017	339.325	214.259	193.971	370.319	310.410	324.462	267.207	277.205	302.821	201.837	290.615	366.709	327.205	306.479	210.252	270.991	239.754	224.018	205.356	477.769	241.866	230.867	251.221	222.780	202.411	215.936	212.982
1020020000	43.06	211.653	174.365	162.483	275.026	179.875	166.494	268.863	168.513	232.052	269.453	253.222	213.011	319.966	331.564	214.009	192.748	364.345	313.966	332.231	263.845	273.803	300.470	199.622	288.197	364.154	330.393	299.017	208.078	265.888	240.605	229.351	200.426	476.957	234.250	233.655	250.956	216.807	202.084	208.596	209.045
1020060000	43.06	215.116	174.518	153.683	288.095	169.354	167.671	268.641	163.128	229.235	272.179	243.324	219.344	328.932	333.803	224.336	194.874	377.810	314.855	333.265	265.052	269.880	305.162	202.276	287.556	363.111	332.299	296.376	214.709	263.147	238.816	223.904	208.069	471.692	238.304	228.071	248.354	227.275	204.895	211.486	208.136
1020100000	43.06	214.326	180.400	157.467	288.733	176.292	163.392	272.350	165.936	235.313	266.923	247.981	208.419	330.256	339.120	215.216	196.029	373.095	310.342	338.607	268.052	280.872	306.573	195.357	290.487	366.154	337.085	310.308	210.301	271.310	243.974	225.316	208.218	471.880	238.652	230.204	245.062	223.954	211.042	215.954	209.236
1020140000	43.06	218.474	177.329	158.433	294.172	179.521	153.000	270.966	167.321	234.774	271.915	248.639	207.409	331.085	336.128	222.716	196.553	363.716	313.120	335.897	260.353	274.436	306.632	202.041	292.273	358.273	333.872	299.410	213.340	272.819	239.754	233.447	208.455	470.487	241.500	239.487	250.513	223.459	204.337	219.972	211.745
1020180000	43.06	213.695	173.459	155.700	284.940	160.646	160.671	275.949	170.026	235.609	281.598	243.287	209.731	336.179	335.966	213.405	192.942	374.414	315.923	332.188	273.914	273.504	301.821	199.622	292.077	363.889	327.915	310.197	213.107	267.086	236.061	226.526	208.941	475.051	234.973	231.257	254.841	218.147	214.274	216.431	208.273
1050020000	43.30	203.821	174.106	153.000	289.974	167.312	159.949	269.248	164.590	231.939	275.376	251.769	212.645	326.402	343.350	215.388	195.913	366.069	308.043	328.496	262.328	272.487	303.744	201.969	289.547	361.103	330.103	303.094	207.388	264.836	240.342	230.789	209.871	473.282	241.821	221.991	248.000	221.257	211.095	221.009	209.709
1050060000	43.30	216.400	168.435	155.967	282.897	181.250	160.063	278.026	165.526	228.435	269.795	245.157	203.301	323.667	333.974	218.440	195.942	376.026	311.479	324.376	264.078	272.624	301.983	203.796	284.991	362.111	334.581	294.504	208.573	268.578	236.789	225.211	209.931	473.812	248.062	232.504	255.850	218.899	207.632	216.018	213.127
1050100000	43.30	207.758	171.953	165.167	286.509	163.188	170.709	275.821	168.192	237.722	268.060	244.944	207.548	331.675	341.350	219.405	193.243	369.552	307.205	327.068	269.888	271.812	295.479	195.316	287.402	361.273	328.949	309.282	211.864	275.862	235.351	233.614	209.040	474.786	238.857	235.504	247.221	216.431	209.621	225.514	215.636
1050140000	43.30	213.116	180.541	163.483	283.629	170.604	164.456	272.812	170.667	232.417	276.333	251.324	219.968	333.889	340.359	216.362	197.689	379.991	319.761	327.137	271.836	268.684	301.675	196.765	284.308	366.632	334.034	305.436	214.350	272.457	242.886	224.518	214.683	478.581	243.268	232.593	255.566	221.431	201.347	224.917	211.300
1050180000	43.30	213.368	170.541	153.750	278.069	168.167	170.658	272.453	162.782	236.565	267.316	250.630	207.979	332.094	338.171	212.241	189.204	373.931	303.205	335.940	271.448	270.915	304.897	206.490	296.538	365.821	328.308	304.897	217.563	276.138	243.211	227.947	208.871	470.590	236.375	232.398	254.575	219.385	216.105	216.220	211.118
1080020000	43.54	211.568	173.141	155.400	293.043	176.771	155.759	272.590	174.705	234.313	271.077	250.472	207.591	327.641	339.060	219.802	195.272	373.500	314.043	329.718	268.560	280.120	307.709	198.531	288.402	369.171	332.778	296.265	210.951	264.466	245.456	225.614	206.099	481.410	241.884	232.292	253.115	226.193	208.126	217.220	216.809
1080060000	43.54	211.042	171.082	155.117	285.181	174.938	162.000	272.205	165.205	233.904	270.273	249.352	214.054	331.966	334.214	213.810	190.214	362.871	315.419	326.573	269.862	279.795	292.932	193.969	288.359	364.590	332.573	302.538	212.670	261.155	244.544	230.570	206.713	475.273	238.777	232.664	245.009	221.844	206.242	214.266	211.364
1080100000	43.54	209.158	177.435	162.000	282.966	173.479	167.063	277.393	171.346	236.757	272.402	250.787	216.527	329.154	336.778	213.862	195.845	374.500	310.658	332.769	267.612	276.607	308.368	197.847	281.675	367.650	338.009	301.359	212.136	269.293	235.675	230.746	206.891	469.803	237.571	231.761	251.867	227.339	209.653	220.936	215.518
1080140000	43.54	215.842	170.765	156.433	287.552	174.312	161.430	276.265	172.154	228.078	275.812	249.583	214.892	334.026	343.273	219.069	198.379	378.103	314.265	330.359	276.629	279.769	303.248	201.204	290.171	363.308	334.521	307.684	213.544	273.862	239.789	230.526	212.931	481.744	233.920	234.593	253.602	222.532	206.189	216.899	214.327
